Date,CPI,M2
2016-01-01,237.652,12505.5
2016-02-01,237.336,12577.7
2016-03-01,238.08,12628.6
2016-04-01,238.992,12707.6
2016-05-01,239.557,12774.6
2016-06-01,240.222,12835.1
2016-07-01,240.101,12889.3
2016-08-01,240.545,12973.6
2016-09-01,241.176,13033.8
2016-10-01,241.741,13107.1
2016-11-01,242.026,13180.6
2016-12-01,242.637,13225.8
2017-01-01,243.618,13300.3
2017-02-01,244.006,13367.0
2017-03-01,243.892,13428.4
2017-04-01,244.193,13484.4
2017-05-01,244.004,13536.4
2017-06-01,244.163,13558.1
2017-07-01,244.243,13615.1
2017-08-01,245.183,13674.3
2017-09-01,246.435,13722.7
2017-10-01,246.626,13782.0
2017-11-01,247.284,13814.6
2017-12-01,247.805,13873.5
2018-01-01,248.859,13882.9
2018-02-01,249.529,13919.0
2018-03-01,249.577,13975.8
2018-04-01,250.227,13993.7
2018-05-01,250.792,14049.4
2018-06-01,251.018,14109.7
2018-07-01,251.214,14143.9
2018-08-01,251.663,14193.6
2018-09-01,252.182,14229.1
2018-10-01,252.772,14241.1
2018-11-01,252.594,14260.5
2018-12-01,252.767,14382.3
2019-01-01,252.561,14445.7
2019-02-01,253.319,14480.8
2019-03-01,254.277,14525.9
2019-04-01,255.233,14554.2
2019-05-01,255.296,14652.0
2019-06-01,255.213,14771.0
2019-07-01,255.802,14853.1
2019-08-01,256.036,14934.3
2019-09-01,256.43,15031.0
2019-10-01,257.155,15166.9
2019-11-01,257.879,15276.4
2019-12-01,258.63,15347.6
2020-01-01,259.127,15416.3
2020-02-01,259.25,15466.6
2020-03-01,258.076,15993.4
2020-04-01,256.032,17005.4
2020-05-01,255.802,17852.9
2020-06-01,257.042,18140.6
2020-07-01,258.352,18297.7
2020-08-01,259.316,18364.1
2020-09-01,259.997,18596.4
2020-10-01,260.319,18751.1
2020-11-01,260.911,18978.9
2020-12-01,262.045,19133.0
2021-01-01,262.639,19359.5
2021-02-01,263.573,19596.5
2021-03-01,264.847,19823.2
2021-04-01,266.625,20161.5
2021-05-01,268.404,20430.6
2021-06-01,270.71,20472.9
2021-07-01,271.965,20628.2
2021-08-01,272.752,20811.1
2021-09-01,273.942,20979.1
2021-10-01,276.528,21142.2
2021-11-01,278.824,21316.5
2021-12-01,280.806,21470.9
2022-01-01,282.542,21587.4
2022-02-01,284.525,21684.9
2022-03-01,287.467,21721.3
2022-04-01,288.582,21750.0
2022-05-01,291.299,21690.7
2022-06-01,295.072,21642.9
2022-07-01,294.94,21641.7
2022-08-01,295.162,21606.7
2022-09-01,296.421,21520.8
2022-10-01,297.979,21424.4
2022-11-01,298.708,21358.1
2022-12-01,298.808,21219.0
2023-01-01,300.456,21205.4
2023-02-01,301.476,21184.7
2023-03-01,301.643,20876.1
2023-04-01,302.858,20729.7
2023-05-01,303.316,20801.1
2023-06-01,304.099,20782.7
2023-07-01,304.615,20772.0
2023-08-01,306.138,20746.9
2023-09-01,307.374,20720.5
2023-10-01,307.653,20687.4
2023-11-01,308.087,20696.9
2023-12-01,308.735,20701.4
2024-01-01,309.794,20773.3
2024-02-01,311.022,20861.4
2024-03-01,312.107,20901.0
2024-04-01,313.016,20929.1
2024-05-01,313.14,20989.7
2024-06-01,313.131,21053.1
2024-07-01,313.566,21084.2
2024-08-01,314.131,21171.1
2024-09-01,314.851,21257.5
2024-10-01,315.564,21308.1
2024-11-01,316.449,21407.9
2024-12-01,317.603,21424.5
2025-01-01,319.086,21492.5
2025-02-01,319.775,21564.8
2025-03-01,319.615,21636.8
2025-04-01,320.321,21770.7
2025-05-01,320.58,21827.6
2025-06-01,321.5,21942.5
2025-07-01,322.132,22028.6
2025-08-01,323.364,22108.2
2025-09-01,324.368,22211.9
2025-10-01,324.6995,22297.8
2025-11-01,325.031,22322.1
2025-12-01,326.03,22411.0
